;;10;10/12
11454;;NL1;60x70
11788;;NL1;60x70
11663;;NL1;60x70
12753;;NL1;60x70
12811;;NL1;60x70
10966;;NL1;60x70
37898;;NL1;60x70
37890;;NL1;60x70
95495;;NL1;60x70-NL
95174;;NL1;60x70-NL
75782;;NL1;60x70-NL
71678;;NL1;60x70-NL
46381;;NL1;60x70-NL
37306;;NL1;60x70-NL
36711;;NL1;60x70-NL
36194;;NL1;60x70-NL
26233;;NL1;60x70-NL
;;;70X140
;;80;80/90
144;;D1;80x80
142;;D1;80x80
140;;D1;80x80
204;;D1;80x80
14938;;D1;80x80
11143;;D1;80x80
11379;;D1;80x80
11554;;D1;80x80
13289;;D1;80x80
11454;;D1;80x80
11788;;D1;80x80
11663;;D1;80x80
12753;;D1;80x80
12811;;D1;80x80
10966;;D1;80x80
37898;;D1;80x80
37890;;D1;80x80
95495;;D1;80x80-D
95174;;D1;80x80-D
75782;;D1;80x80-D
71678;;D1;80x80-D
46381;;D1;80x80-D
37306;;D1;80x80-D
36711;;D1;80x80-D
36194;;D1;80x80-D
26233;;D1;80x80-D
;;86;86/92
;;1;90x200x40
;;98;98/104
;;L;L/XL
;;10;L10
;;12;L12
;;14;L14
;;16;L16
;;18;L18
;;20;L20
;;22;L22
;;24;L24
;;26;L26
;;28;L28
;;2XL;L2XL
;;34;L34
;;36;L36
;;38;L38
;;3XL;L3XL
;;40;L40
;;42;L42
;;44;L44
;;46;L46
;;48;L48
;;50;L50
;;52;L52
;;54;L54
;;8;L8
;;L;LL
;;M;LM
;;S;LS
;;XL;LXL
;;M;M/L
;;10;N10
;;12;N12
;;14;N14
;;16;N16
;;18;N18
;;20;N20
;;22;N22
;;24;N24
;;26;N26
;;28;N28
;;2XL;N2XL
;;34;N34
;;36;N36
;;37;N37
;;38;N38
;;39;N39
;;3XL;N3XL
;;40;N40
;;41;N41
;;42;N42
;;44;N44
;;46;N46
;;48;N48
;;50;N50
;;52;N52
;;54;N54
;;8;N8
;;;ne size
;;L;NL
;;M;NM
;;S;NS
;;XL;NXL
;;;one size
;;;One size
;;;One Size
;;;ONE SIZE
;;;onesize
;;;Onesize
;;;ONESIZE
;;S;S/M
;;S;S-M
;;36;X36
;;37;X37
;;38;X38
;;39;X39
;;40;X40
;;41;X41
;;42;X42
;;XL;XL
;;36;XL36
;;37;XL37
;;38;XL38
;;39;XL39
;;40;XL40
;;41;XL41
;;42;XL42
;;36;XX36
;;37;XX37
;;38;XX38
;;39;XX39
;;40;XX40
;;41;XX41
;;42;XX42
;;36;XXL36
;;37;XXL37
;;38;XXL38
;;39;XXL39
;;40;XXL40
;;41;XXL41
;;42;XXL42
