15925-75A,45,2,0,1
15986-38,79,2,0,1
17909-40,0,2,0,0
18893-110,115,2,0,1
18895-104,1,2,0,1
18895-134,1,2,0,1
20071-M,259,2,0,1
20090-S,-1,2,0,0
20096-M,-1,2,0,0
20096-XL,0,2,0,0
20099-XL,217,2,0,1
20413-44,0,2,0,0
20449-38,3,2,0,1
20449-40,0,2,0,0
20456-54,1,2,0,1
20462-42,0,2,0,0
20462-54,1,2,0,1
20482-M,61,2,0,1
20520-XL,15,2,0,1
20528-42,1,2,0,1
20650-35,0,2,0,0
21003-L,209,2,0,1
21008-L,38,2,0,1
21026-2XL,1,2,0,1
21065-140,140,2,0,1
21294-2XL,2,2,0,1
22117-116,0,2,0,0
22118-116,0,2,0,0
22135-104,0,2,0,0
22157-46,40,2,0,1
22161-134,0,2,0,0
22550-134,28,2,0,1
22787-104,2,2,0,1
22927-128,58,2,0,1
23157-104,14,2,0,1
23159-128,1,2,0,1
23159-152,1,2,0,1
23169-104,27,2,0,1
23169-110,42,2,0,1
23171-3XL,30,2,0,1
23202-86,1,2,0,1
23205-86,1,2,0,1
23209-104,7,2,0,1
23211-M,58,2,0,1
23212-M,75,2,0,1
23213-M,56,2,0,1
23214-M,100,2,0,1
23222-38,2,2,0,1
23222-42,0,2,0,0
25000-44,0,2,0,0
25047-48,1,2,0,1
25051-36,1,2,0,1
25053-40,-1,2,0,0
25053-42,-2,2,0,0
25110-98,62,2,0,1
25119-134,1,2,0,1
25190-33,20,2,0,1
25191-33,106,2,0,1
25192-34,18,2,0,1
25204-L,97,2,0,1
25206-L,87,2,0,1
25243-116,18,2,0,1
25249-134,44,2,0,1
25552-98,16,2,0,1
25552-134,25,2,0,1
25552-152,6,2,0,1
25553-98,1,2,0,1
25553-134,1,2,0,1
25553-152,0,2,0,0
26171-38,4,2,0,1
26173-50,74,2,0,1
26174-38,28,2,0,1
26175-36,0,2,0,0
26177-36,1,2,0,1
27125-L,137,2,0,1
27126-L,222,2,0,1
27126-XL,207,2,0,1
27130-M,102,2,0,1
27477-122,-3,2,0,0
27477-128,-1,2,0,0
27511-31,5,2,0,1
28092-L,85,2,0,1
28092-XL,30,2,0,1
28093-M,72,2,0,1
28100-134,0,2,0,0
28103-134,47,2,0,1
28105-134,68,2,0,1
28106-134,50,2,0,1
28107-104,10,2,0,1
28107-110,11,2,0,1
28107-134,64,2,0,1
28149-3,-9,2,0,0
28463-XL,91,2,0,1
28485-XL,28,2,0,1
28486-M,108,2,0,1
29419-52,6,2,0,1
29420-36,4,2,0,1
29421-44,0,2,0,0
29425-46,1,2,0,1
29427-36,6,2,0,1
29427-38,1,2,0,1
30153-134,19,2,0,1
30157-98,23,2,0,1
30303-3XL,5,2,0,1
30310-134,15,2,0,1
30319-128,1,2,0,1
30319-140,1,2,0,1
30319-152,1,2,0,1
30434-32,55,2,0,1
30530-42,108,2,0,1
30665-M,1,2,0,1
30727-98,0,2,0,0
30804-32,60,2,0,1
30805-36,-1,2,0,0
30805-38,-1,2,0,0
30812-31,1,2,0,1
30812-33,2,2,0,1
30814-2XL,91,2,0,1
30816-50,3,2,0,1
30819-44,1,2,0,1
30855-32,1,2,0,1
30855-33,42,2,0,1
30855-34,15,2,0,1
30857-L,116,2,0,1
30949-48,12,2,0,1
30953-46,0,2,0,0
31012-130,32,2,0,1
31012-150,48,2,0,1
31567-S,13,2,0,1
31602-116,17,2,0,1
31602-140,1,2,0,1
31831-42,104,2,0,1
32327-54,0,2,0,0
32443-50,2,2,0,1
32443-52,0,2,0,0
32502-L,62,2,0,1
32504-XL,72,2,0,1
32606-L,0,2,0,0
34011-46,0,2,0,0
34014-98,0,2,0,0
34014-134,6,2,0,1
34014-152,2,2,0,1
34175-3XL,2,2,0,1
34177-40,1,2,0,1
34177-50,2,2,0,1
34179-50,1,2,0,1
34182-48,3,2,0,1
34250-D1,498,2,0,1
34347-L,263,2,0,1
34382-M,0,2,0,0
34382-3XL,30,2,0,1
34384-L,4,2,0,1
34417-38,-1,2,0,0
34417-40,3,2,0,1
34485-D1,476,2,0,1
34489-104,1,2,0,1
35281-130,10,2,0,1
35281-150,35,2,0,1
36627-44,27,2,0,1
36627-46,9,2,0,1
36634-42,0,2,0,0
36640-36,16,2,0,1
36770-46,0,2,0,0
36921-S,223,2,0,1
36922-L,160,2,0,1
37034-92,1,2,0,1
37034-110,1,2,0,1
37065-40,15,2,0,1
37065-50,0,2,0,0
37065-52,0,2,0,0
37067-50,1,2,0,1
37070-44,-4,2,0,0
37070-52,0,2,0,0
37070-54,0,2,0,0
37071-44,1,2,0,1
37152-116,1,2,0,1
37220-40,211,2,0,1
37220-50,42,2,0,1
37223-48,180,2,0,1
37230-110,0,2,0,0
37233-104,1,2,0,1
37233-110,1,2,0,1
37277-36,0,2,0,0
37290-36,161,2,0,1
37308-40,0,2,0,0
37320-M,1,2,0,1
37509-M,0,2,0,0
38000-104,3,2,0,1
38001-146,11,2,0,1
38001-152,31,2,0,1
38003-104,1,2,0,1
38003-110,0,2,0,0
38005-104,25,2,0,1
38005-110,57,2,0,1
38008-110,4,2,0,1
38455-M,96,2,0,1
38458-L,0,2,0,0
38591-10B,0,2,0,0
38591-10C,0,2,0,0
38591-10D,0,2,0,0
38591-15B,0,2,0,0
38591-15C,0,2,0,0
38591-15E,0,2,0,0
38591-75B,0,2,0,0
38591-95D,0,2,0,0
40054-140,0,2,0,0
40055-134,12,2,0,1
40061-164,14,2,0,1
40355-M,0,2,0,0
40458-XL,3,2,0,1
40490-2XL,1,2,0,1
40492-L,1,2,0,1
40495-XL,1,2,0,1
40496-L,0,2,0,0
41037-L,178,2,0,1
41037-M,193,2,0,1
41037-S,83,2,0,1
41037-XL,137,2,0,1
41037-2XL,77,2,0,1
41037-3XL,40,2,0,1
41040-L,439,2,0,1
41320-3XL,1,2,0,1
41321-3XL,1,2,0,1
41450-44,0,2,0,0
42100-52,1,2,0,1
42281-110,2,2,0,1
42282-104,9,2,0,1
42282-128,77,2,0,1
42337-36,0,2,0,0
42337-46,47,2,0,1
42337-48,42,2,0,1
42341-40,16,2,0,1
42512-134,1,2,0,1
42514-104,1,2,0,1
42671-164,18,2,0,1
42672-164,50,2,0,1
42939-44,0,2,0,0
43051-S,-10,2,0,0
43051-2XL,1,2,0,1
43052-S,0,2,0,0
43056-M,1,2,0,1
43106-122,9,2,0,1
43107-116,1,2,0,1
43107-164,18,2,0,1
43111-92,0,2,0,0
43111-104,0,2,0,0
43111-110,0,2,0,0
43111-116,0,2,0,0
43606-54,1,2,0,1
43607-46,13,2,0,1
43622-42,13,2,0,1
43622-44,3,2,0,1
44062-42,7,2,0,1
44062-44,2,2,0,1
44073-XL,0,2,0,0
44392-XL,43,2,0,1
44395-M,50,2,0,1
44396-3XL,1,2,0,1
45044-44,0,2,0,0
45585-M,96,2,0,1
46535-36,36,2,0,1
47004-L,4,2,0,1
47005-S,1,2,0,1
47114-40,44,2,0,1
47114-52,1,2,0,1
47114-54,0,2,0,0
47166-52,0,2,0,0
47167-54,1,2,0,1
47175-52,3,2,0,1
47177-46,1,2,0,1
47699-34,5,2,0,1
47708-110,37,2,0,1
47716-110,1,2,0,1
47718-104,19,2,0,1
47718-110,52,2,0,1
48036-46,1,2,0,1
